account_code,account_name,account_type,group,sub_group,normal_balance,is_control
1010,Leasehold Improvements,Asset,Non-current assets,"Property, plant & equipment",Debit,False
1015,Accumulated Depreciation - Leasehold Improvements,Asset,Non-current assets,"Property, plant & equipment",Credit,False
1020,Furniture & Fixtures,Asset,Non-current assets,"Property, plant & equipment",Debit,False
1025,Accumulated Depreciation - Furniture & Fixtures,Asset,Non-current assets,"Property, plant & equipment",Credit,False
1030,Office Equipment,Asset,Non-current assets,"Property, plant & equipment",Debit,False
1035,Accumulated Depreciation - Office Equipment,Asset,Non-current assets,"Property, plant & equipment",Credit,False
1040,Computers & Laptops,Asset,Non-current assets,"Property, plant & equipment",Debit,False
1045,Accumulated Depreciation - Computers & Laptops,Asset,Non-current assets,"Property, plant & equipment",Credit,False
1050,Servers & Networking Equipment,Asset,Non-current assets,"Property, plant & equipment",Debit,False
1055,Accumulated Depreciation - Servers & Networking Equipment,Asset,Non-current assets,"Property, plant & equipment",Credit,False
1060,Plant & Machinery,Asset,Non-current assets,"Property, plant & equipment",Debit,False
1065,Accumulated Depreciation - Plant & Machinery,Asset,Non-current assets,"Property, plant & equipment",Credit,False
1070,Electrical Installations,Asset,Non-current assets,"Property, plant & equipment",Debit,False
1075,Accumulated Depreciation - Electrical Installations,Asset,Non-current assets,"Property, plant & equipment",Credit,False
1080,Motor Vehicles,Asset,Non-current assets,"Property, plant & equipment",Debit,False
1085,Accumulated Depreciation - Motor Vehicles,Asset,Non-current assets,"Property, plant & equipment",Credit,False
1100,Software Licences (Intangible),Asset,Non-current assets,Intangible assets,Debit,False
1105,Accumulated Amortisation - Software,Asset,Non-current assets,Intangible assets,Credit,False
1110,Goodwill,Asset,Non-current assets,Intangible assets,Debit,False
1120,Right-of-Use Asset - Office Premises,Asset,Non-current assets,Right-of-use assets,Debit,False
1121,Right-of-Use Asset - Equipment,Asset,Non-current assets,Right-of-use assets,Debit,False
1125,Accumulated Depreciation - ROU Assets,Asset,Non-current assets,Right-of-use assets,Credit,False
1150,Security Deposits - Rent,Asset,Non-current assets,Other financial assets,Debit,False
1151,Security Deposits - Utilities,Asset,Non-current assets,Other financial assets,Debit,False
1160,Deferred Tax Asset,Asset,Non-current assets,Deferred tax,Debit,False
1170,Investment in Subsidiary - Middle East,Asset,Non-current assets,Investments,Debit,False
1200,Trade Receivables - Domestic,Asset,Current assets,Trade receivables,Debit,True
1201,Trade Receivables - Export,Asset,Current assets,Trade receivables,Debit,True
1205,Allowance for Expected Credit Loss,Asset,Current assets,Trade receivables,Credit,False
1210,Unbilled Revenue,Asset,Current assets,Trade receivables,Debit,False
