fy,month,period,bu,account_code,account_name,account_type,group,sub_group,budget,actual,variance,variance_pct
FY24-25,2024-04,Apr-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1327882,1259361,-68521,-5.2
FY24-25,2024-05,May-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1389008,1318349,-70659,-5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1451499,1479120,27621,1.9
FY24-25,2024-07,Jul-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1500376,1452143,-48233,-3.2
FY24-25,2024-08,Aug-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1474284,1450198,-24086,-1.6
FY24-25,2024-09,Sep-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1539639,1577685,38046,2.5
FY24-25,2024-10,Oct-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1606444,1733521,127077,7.9
FY24-25,2024-11,Nov-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1611528,1835056,223528,13.9
FY24-25,2024-12,Dec-2024,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1584464,1522017,-62447,-3.9
FY24-25,2025-01,Jan-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1702339,1836750,134411,7.9
FY24-25,2025-02,Feb-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1773740,1678058,-95682,-5.4
FY24-25,2025-03,Mar-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1863346,1827719,-35627,-1.9
FY25-26,2025-04,Apr-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1550504,1560457,9953,0.6
FY25-26,2025-05,May-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1621878,1677703,55825,3.4
FY25-26,2025-06,Jun-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1694845,1777986,83141,4.9
FY25-26,2025-07,Jul-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1751916,1812154,60238,3.4
FY25-26,2025-08,Aug-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1721451,1825147,103696,6.0
FY25-26,2025-09,Sep-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1797762,1768561,-29201,-1.6
FY25-26,2025-10,Oct-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1875767,1768609,-107158,-5.7
FY25-26,2025-11,Nov-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1881704,1851091,-30613,-1.6
FY25-26,2025-12,Dec-2025,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1850103,1905783,55680,3.0
FY25-26,2026-01,Jan-2026,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,1987739,1870697,-117042,-5.9
FY25-26,2026-02,Feb-2026,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,2071110,1997754,-73356,-3.5
FY25-26,2026-03,Mar-2026,Digital Engineering,4000,Revenue - Software Services (Domestic),Income,Revenue,Operating revenue,2175740,2099090,-76650,-3.5
FY24-25,2024-04,Apr-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1581152,1499562,-81590,-5.2
FY24-25,2024-05,May-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1653937,1569801,-84136,-5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1728346,1761236,32890,1.9
FY24-25,2024-07,Jul-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1786546,1729113,-57433,-3.2
FY24-25,2024-08,Aug-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1755478,1726798,-28680,-1.6
FY24-25,2024-09,Sep-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1833298,1878601,45303,2.5
FY24-25,2024-10,Oct-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1912845,2064159,151314,7.9
FY24-25,2024-11,Nov-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1918899,2185061,266162,13.9
FY24-25,2024-12,Dec-2024,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1886673,1812315,-74358,-3.9
FY24-25,2025-01,Jan-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2027030,2187078,160048,7.9
FY24-25,2025-02,Feb-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2112049,1998117,-113932,-5.4
FY24-25,2025-03,Mar-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2218747,2176324,-42423,-1.9
FY25-26,2025-04,Apr-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1846235,1858086,11851,0.6
FY25-26,2025-05,May-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,1931222,1997696,66474,3.4
FY25-26,2025-06,Jun-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2018107,2117105,98998,4.9
FY25-26,2025-07,Jul-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2086063,2157790,71727,3.4
FY25-26,2025-08,Aug-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2049787,2173261,123474,6.0
FY25-26,2025-09,Sep-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2140654,2105883,-34771,-1.6
FY25-26,2025-10,Oct-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2233537,2105940,-127597,-5.7
