lease_id,description,period_no,period,opening_liability,lease_payment,interest_expense,principal_repayment,closing_liability,rou_opening,rou_depreciation,rou_closing
LSE101,Office - Pune Delivery Centre,1,2025-10,66649856,843000,510427,332573,66317283,66975856,697665,66278191
LSE101,Office - Pune Delivery Centre,2,2025-11,66317283,843000,507880,335120,65982163,66278191,697665,65580526
LSE101,Office - Pune Delivery Centre,3,2025-12,65982163,843000,505313,337687,65644476,65580526,697665,64882861
LSE101,Office - Pune Delivery Centre,4,2026-01,65644476,843000,502727,340273,65304203,64882861,697665,64185195
LSE101,Office - Pune Delivery Centre,5,2026-02,65304203,843000,500121,342879,64961325,64185195,697665,63487530
LSE101,Office - Pune Delivery Centre,6,2026-03,64961325,843000,497495,345505,64615820,63487530,697665,62789865
LSE101,Office - Pune Delivery Centre,7,2026-04,64615820,843000,494849,348151,64267670,62789865,697665,62092200
LSE101,Office - Pune Delivery Centre,8,2026-05,64267670,843000,492183,350817,63916853,62092200,697665,61394535
LSE101,Office - Pune Delivery Centre,9,2026-06,63916853,843000,489497,353503,63563349,61394535,697665,60696870
LSE101,Office - Pune Delivery Centre,10,2026-07,63563349,843000,486789,356211,63207139,60696870,697665,59999204
LSE101,Office - Pune Delivery Centre,11,2026-08,63207139,843000,484061,358939,62848200,59999204,697665,59301539
LSE101,Office - Pune Delivery Centre,12,2026-09,62848200,843000,481312,361688,62486513,59301539,697665,58603874
LSE101,Office - Pune Delivery Centre,13,2026-10,62486513,885150,478543,406607,62079905,58603874,697665,57906209
LSE101,Office - Pune Delivery Centre,14,2026-11,62079905,885150,475429,409721,61670184,57906209,697665,57208544
LSE101,Office - Pune Delivery Centre,15,2026-12,61670184,885150,472291,412859,61257325,57208544,697665,56510879
LSE101,Office - Pune Delivery Centre,16,2027-01,61257325,885150,469129,416021,60841304,56510879,697665,55813213
LSE101,Office - Pune Delivery Centre,17,2027-02,60841304,885150,465943,419207,60422097,55813213,697665,55115548
LSE101,Office - Pune Delivery Centre,18,2027-03,60422097,885150,462733,422417,59999679,55115548,697665,54417883
LSE101,Office - Pune Delivery Centre,19,2027-04,59999679,885150,459498,425652,59574027,54417883,697665,53720218
LSE101,Office - Pune Delivery Centre,20,2027-05,59574027,885150,456238,428912,59145114,53720218,697665,53022553
LSE101,Office - Pune Delivery Centre,21,2027-06,59145114,885150,452953,432197,58712917,53022553,697665,52324888
LSE101,Office - Pune Delivery Centre,22,2027-07,58712917,885150,449643,435507,58277411,52324888,697665,51627222
LSE101,Office - Pune Delivery Centre,23,2027-08,58277411,885150,446308,438842,57838568,51627222,697665,50929557
LSE101,Office - Pune Delivery Centre,24,2027-09,57838568,885150,442947,442203,57396365,50929557,697665,50231892
